year,gdp_cy_b241204f,pop_cy_b241204f,pc_cy_b241204f,pcmed_cy_b241204f,inc_cy_b241204f,inc_smooth_taxadj_cy_b241204f
1984,4037.65,236.394,.4843875,.3021622400596716,2910.775,2910.7749
1985,4339,238.50625,.501285,.3206024345642086,3105.075,3105.075
1986,4579.625,240.6825,.51219,.3395899031882355,3293.4,3293.3999
1987,4855.25,242.8425,.5280175,.3610619358739144,3457.225,3457.2251
1988,5236.425,245.061,.548655,.3881335980844384,3774.075,3774.075
1989,5641.6,247.38725,.572615,.4209190635182666,4053.25,4053.25
1990,5963.125,250.181,.5977525,.4559003238880189,4318.625,4318.625
1991,6158.125,253.53025,.61774,.4906170448527221,4501.025,4501.0249
1992,6520.325000000001,256.92175,.6342025,.5240818556523222,4804.7,4804.7002
1993,6858.55,260.2815,.6500025,.5505259323394566,5004.125,5004.125
1994,7287.25,263.4545,.663565,.5716255141824389,5247.825,5247.8252
1995,7639.75,266.5875,.6775375,.5906648585078103,5534.95,5534.9502
1996,8073.125,269.71425,.692025,.60443249686487,5829.125,5829.125
1997,8577.549999999999,272.95825,.70407,.6161936051247021,6142.175,6142.1748
1998,9062.825000000001,276.15425,.7096725,.6282405686661522,6555.95,6555.9502
1999,9631.175000000001,279.3275,.7200150000000001,.6434993254741822,6866.675,6866.6748
2000,10250.95,282.39825,.7382225,.6622907542201643,7384.975,7384.9751
2001,10581.925,285.2255,.75302,.685580336567464,7754.1,7754.1001
2002,10929.1,287.95475,.76291,.7046780415660658,8097.875,8097.875
2003,11456.45,290.62625,.77894,.729763844614693,8478.225,8478.2246
2004,12217.175,293.26225,.798275,.7554120578519566,8967.15,8967.1504
2005,13039.2,295.99275,.8212725,.778848918477196,9333.65,9333.6504
2006,13815.6,298.8175,.8444,.8034571010523578,9945.025,9945.0254
2007,14474.25,301.696,.8660675,.8297431260993788,10439.65,10439.65
2008,14769.85,304.543,.8916975,.8511868843056828,10918.15,10918.15
2009,14478.05,307.24025,.8892125,.8746031685630382,10913.3,10913.3
2010,15048.975,309.8385,.905135,.8973651691718975,11319,11319
2011,15599.725,312.295,.9280375,.9155817891759226,11855.875,11855.875
2012,16253.95,314.72525,.94534,.9337331395708635,12408.275,12408.275
2013,16880.675,317.09925,.957805,.9450887687555697,12391.225,12391.225
2014,17608.125,319.60075,.97121,.9582573986821192,12998.4,12998.4
2015,18295,322.1125,.97299,.9682926739141884,13532.85,13532.85
2016,18804.9,324.60925,.982845,.983498242267795,13928.9,13928.9
2017,19612.1,326.85975,1,1,14613.95,14613.95
2018,20656.525,328.79475,1.02047,1.017457625155496,15454.075,15454.075
2019,21539.975,330.5125,1.0350875,1.032458638949788,16164.5,16164.5
2020,21354.125,331.79975,1.04641,1.054165455640355,17374.8,17155.061
2021,23681.175,332.3675,1.0897225,1.075373034685079,18714.4,18247.785
2022,26006.9,333.5685,1.1611075,1.102027111927561,18844.025,19558.955
2023,27720.725,335.2085,1.2049125,1.130797476713606,20546.825,20805.914
2024,29166.165,336.977621125,1.2349875,1.15994325,21644.8875,21764.324
2025,30441.0775,339.08269585,1.26205275,1.18481475,22560.255,22560.256
2026,31640.63,341.25263395,1.288814,1.21125775,23394.8175,23394.818
2027,32840.9525,343.422572075,1.31492275,1.2379935,24309.7075,24309.707
2028,34078.36,345.592510175,1.34123125,1.26519375,25508.875,25508.875
2029,35378.35,347.7624483,1.36783625,1.2928915,26666.4225,26666.422
2030,36738.81,349.9323864,1.39481625,1.32111225,27822.34,27822.34
2031,38151.325,352.1023245,1.4222415,1.34991275,28970.2,28970.199
2032,39626.7225,354.272262625,1.45015275,1.37927525,30150.5125,30150.512
2033,41154.23,356.442200725,1.47858025,1.40922125,31332.455,31332.455
2034,42727.63,358.542336675,1.507539,1.4397815,32576.2675,32576.268
2035,44345.435,359.7613844,1.5370445,1.47098025,33902.65,33902.648
2036,46010.3675,360.704151125,1.567111,1.50283825,35236.65,35236.648
2037,47727.0875,361.58247615,1.59775275,1.53537575,36604.2075,36604.207
2038,49499.4775,362.398590225,1.628983,1.568613,38002.52,38002.52
2039,51325.04,363.154043375,1.660815,1.60256875,39427.61,39427.609
2040,53205.1875,363.8496449,1.693261,1.63726225,40898.215,40898.215
2041,55135.7675,364.486328125,1.726335,1.67271225,42426.0775,42426.078
2042,57120.865,365.065422875,1.7600505,1.70893575,44011.72,44011.719
2043,59163.805,365.5886647,1.79442025,1.7459525,45634.2925,45634.293
2044,61269.015,366.058504825,1.82945825,1.783781,47311.9675,47311.969
2045,63438.0525,366.47817805,1.86517875,1.82244,49048.4975,49048.496
2046,65673.635,366.851216425,1.9015945,1.86194975,50844.98,50844.98
2047,67977.83,367.18049765,1.9387205,1.902329,52699.2425,52699.242
2048,70352.125,367.468467025,1.976571,1.9435975,54605.31,54605.309
2049,72798.9725,367.718204925,2.0151595,1.985777,56569.6725,56569.672
2050,75314.96249999999,367.933375375,2.054501,2.02888725,58605.625,58605.625
2051,77907.8725,368.11799185,2.09461125,2.07294925,60689.5225,60689.523
2052,80584.5475,368.276579175,2.13550425,2.11798525,62829.2725,62829.273
2053,83349.0425,368.414198075,2.1771955,2.164017,65032.595,65032.594
2054,86205.39,368.53610925,2.219701,2.21106675,67318.8,67318.797
2055,89157.7975,368.6472970271843,2.2630375,2.25915675,69685.0825,69685.086
